subject,description,units,sem,year,curriculumId,programId,schoolTermId
BIT111L,Introduction to Computing,3,1,FIRST,1,1,1
BIT112L,Fundamentals of Programming,3,1,FIRST,1,1,1
BIT121L,Discrete Structures,3,2,FIRST,1,1,2
BIT122L,Intermediate Programming,3,2,FIRST,1,1,2
BIT123L,Data Structures and Algorithms,3,2,FIRST,1,1,2
BIT211L,Database Management (Info Mgt) 1,3,1,SECOND,1,1,1
BIT212L,Web Development 1,3,1,SECOND,1,1,1
BIT213L,Object-Oriented Programming,3,1,SECOND,1,1,1
BIT214L,Networking and Communications 1,3,1,SECOND,1,1,1
BIT215L,Social Issues and Professional Practice,3,1,SECOND,1,1,1
BIT221L,Database Management (Info Mgt) 2,3,2,SECOND,1,1,2
BIT222L,Web Development 2,3,2,SECOND,1,1,2
BIT223L,"Presentation, Negotiation and Consulting Skills in IT",3,2,SECOND,1,1,2
BIT224L,Networking and Communications 2,3,2,SECOND,1,1,2
BIT311L,Platform Technologies,3,1,THIRD,1,1,1
BIT312L,Integrative Programming and Technologies,3,1,THIRD,1,1,1
BIT313L,Human Computer Interaction,3,1,THIRD,1,1,1
BIT314L,Information Systems,3,1,THIRD,1,1,1
BIT315L,Quantitative Methods,3,1,THIRD,1,1,1
BIT316L,Fundamentals of IT Project Management,3,1,THIRD,1,1,1
BIT411L,Information Assurance and Security 2,3,1,FOURTH,1,1,1
BIT412L,Capstone Project 2,3,1,FOURTH,1,1,1
BIT421L,Practicum (incl. CPSO),3,2,FOURTH,1,1,2
BIT-SPE1,Specialization 1,3,2,FOURTH,1,1,2
